tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Bacteria	Caldisericota	Caldisericia	Cryosericales	Cryosericaceae	Cryosericum	Cryosericum hinesii	NrdD	NrdDd
Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	Caldisericum exile_B	NrdD	NrdDd
Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	UBA4770	UBA4770 sp002403335	NrdD	NrdDd
Bacteria	Calditrichota	Calditrichia	RBG-13-44-9	J042	J042	J042 sp003696445	NrdJ	NrdJd
Bacteria	Calditrichota	Calditrichia	RBG-13-44-9	RBG-13-44-9	4484-188	4484-188 sp002049825	NrdJ	NrdJd
Bacteria	Calditrichota	Calditrichia	RBG-13-44-9	J042	JABWBP01	JABWBP01 sp013360445	NrdJ	NrdJd
Bacteria	Calditrichota	Calditrichia	RBG-13-44-9	J042	JABWBP01	JABWBP01 sp011526015	NrdJ	NrdJd
Bacteria	Calditrichota	Calditrichia	RBG-13-44-9	J042	JAADJD01	JAADJD01 sp013150955	NrdJ	NrdJd
Bacteria	Calescibacterota	Calescibacteriia	DRYD01	DRYD01	DRYD01	DRYD01 sp011388315	NrdJ	NrdJa+b
Bacteria	Calescibacterota	Calescibacteriia	Calescibacteriales	Calescibacteriaceae	Calescibacterium	Calescibacterium nevadense	NrdJ	NrdJk
Bacteria	Calescibacterota	Calescibacteriia	Calescibacteriales	Calescibacteriaceae	Calescibacterium	Calescibacterium sp002898315	NrdJ	NrdJk
Bacteria	Calescibacterota	Calescibacteriia	Calescibacteriales	Calescibacteriaceae	Calescibacterium	Calescibacterium sp011364105	NrdJ	NrdJk
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	CAIJNA01	CAIJNA01 sp903821805	NrdA	NrdAg
Bacteria	Campylobacterota	Campylobacteria	Nautiliales	Nautiliaceae	PUXY01	PUXY01 sp009659955	NrdA	NrdAg
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_A	Campylobacter_A concisus_K	NrdA	NrdAh
Bacteria	Campylobacterota	Campylobacteria	Nautiliales	Nautiliaceae	Nautilia	Nautilia profundicola_A	NrdA	NrdAh
Bacteria	Campylobacterota	Campylobacteria	Nautiliales	Nautiliaceae	Lebetimonas	Lebetimonas natsushimae	NrdA	NrdAh
Bacteria	CG03	SLGR01	SLGR01	SLGR01	JAAZFS01	JAAZFS01 sp012511615	NrdD	NrdDd
Bacteria	CG03	SLGR01	SLGR01	SLGR01	PWEK01	PWEK01 sp003553445	NrdD	NrdDd
Bacteria	CG03	SLGR01	SLGR01	SLGR01	SLGR01	SLGR01 sp007136585	NrdD	NrdDd
Bacteria	CG03	SLGR01	SLGR01	PWQF01	PWMP01	PWMP01 sp003558145	NrdD	NrdDd
Bacteria	CG03	SLGR01	SLGR01	PWQF01	PWMP01	PWMP01 sp003557485	NrdD	NrdDd
Bacteria	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	JAADIO01	JAADIO01 sp013151235	NrdJ	NrdJuc02
Bacteria	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	JAADIO01	JAADIO01 sp013151235	NrdJ	NrdJuc02
Bacteria	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67 sp001873285	NrdJ	NrdJuc02
Bacteria	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67	CG2-30-53-67 sp001873285	NrdJ	NrdJuc02
